Q1	Q2	Q3	Q4	Q5	Q6	L1	L2	L3	L4	L5
Ein	Aus	Ein	Aus	Aus	Ein	Ein	Aus	Aus	Ein	Aus
Aus	Ein	Ein	Aus	Aus	Ein	Aus	Aus	Aus	Ein	Aus
Ein	Ein	Ein	Aus	Aus	Ein	Ein	Aus	Aus	Ein	Aus
Aus	Aus	Aus	Ein	Aus	Ein	Aus	Aus	Ein	Aus	Aus
Ein	Aus	Aus	Ein	Aus	Ein	Ein	Aus	Ein	Aus	Aus
Aus	Ein	Aus	Ein	Aus	Ein	Aus	Aus	Ein	Aus	Aus
Ein	Ein	Aus	Ein	Aus	Ein	Ein	Aus	Ein	Aus	Aus
Aus	Aus	Ein	Ein	Aus	Ein	Aus	Aus	Ein	Aus	Aus
Ein	Aus	Ein	Ein	Aus	Ein	Ein	Aus	Ein	Aus	Aus
Aus	Ein	Ein	Ein	Aus	Ein	Aus	Aus	Ein	Aus	Aus
Ein	Ein	Ein	Ein	Aus	Ein	Ein	Aus	Ein	Aus	Aus
Aus	Aus	Aus	Aus	Ein	Ein	Aus	Aus	Aus	Ein	Ein
Ein	Aus	Aus	Aus	Ein	Ein	Ein	Aus	Aus	Ein	Ein
Aus	Ein	Aus	Aus	Ein	Ein	Aus	Aus	Aus	Ein	Ein
Ein	Ein	Aus	Aus	Ein	Ein	Ein	Aus	Aus	Ein	Ein
Aus	Aus	Ein	Aus	Ein	Ein	Aus	Aus	Aus	Ein	Ein
Ein	Aus	Ein	Aus	Ein	Ein	Ein	Aus	Aus	Ein	Ein
Aus	Ein	Ein	Aus	Ein	Ein	Aus	Aus	Aus	Ein	Ein
Ein	Ein	Ein	Aus	Ein	Ein	Ein	Aus	Aus	Ein	Ein
Aus	Aus	Aus	Ein	Ein	Ein	Aus	Aus	Aus	Ein	Ein
Ein	Aus	Aus	Ein	Ein	Ein	Ein	Aus	Aus	Ein	Ein
Aus	Ein	Aus	Ein	Ein	Ein	Aus	Aus	Aus	Ein	Ein
Ein	Ein	Aus	Ein	Ein	Ein	Ein	Aus	Aus	Ein	Ein
Aus	Aus	Ein	Ein	Ein	Ein	Aus	Aus	Aus	Ein	Ein
Ein	Aus	Ein	Ein	Ein	Ein	Ein	Aus	Aus	Ein	Ein
Aus	Ein	Ein	Ein	Ein	Ein	Aus	Aus	Aus	Ein	Ein
Ein	Ein	Ein	Ein	Ein	Ein	Ein	Aus	Aus	Ein	Ein
